,json,hash,add,end,will_be_funded,yes,no,abstain,votes,fund,year
10,"{'hash': '840854befa34c174038eca4b5269eac88a4a3b40d3d188b5d2f6caaa0bb7720e', 'name': 'DCG-SUPPLEMENTAL-NOV22', 'url': 'www.dashcentral.org/p/DCG_Supplemental_Nov2022', 'dw_url': 'https://www.dashcentral.org/p/DCG-SUPPLEMENTAL-NOV22', 'dw_url_comments': 'https://www.dashcentral.org/p/DCG-SUPPLEMENTAL-NOV22#comments', 'title': 'Dash Core Group November Supplemental Funding Proposal', 'date_added': '2022-11-15 17:30:01', 'date_added_human': '5 months ago', 'date_end': '2022-12-10 20:03:59', 'voting_deadline': '2022-12-24 00:11:47', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 744, 'total_payment_count': 1, 'remaining_payment_count': 0, 'yes': 591, 'no': 83, 'abstain': 2, 'order': 11, 'comment_amount': 51, 'owner_username': 'quantumexplorer'}",840854befa34c174038eca4b5269eac88a4a3b40d3d188b5d2f6caaa0bb7720e,2022-11-15 17:30:01,2022-12-24 00:11:47,True,591,83,2,676,744.0,2022
11,"{'hash': '093bbd80cf45bc080a168aa5bdae50345df74060a041da326f7c7403a7fda0a9', 'name': 'DCG-Infra-Dec-2022-Jan-2023', 'url': 'www.dashcentral.org/p/DCG-INFRA-DEC22-JAN23', 'dw_url': 'https://www.dashcentral.org/p/DCG-Infra-Dec-2022-Jan-2023', 'dw_url_comments': 'https://www.dashcentral.org/p/DCG-Infra-Dec-2022-Jan-2023#comments', 'title': 'Dash Core Group Infrastructure Dec 2022 - Jan 2023', 'date_added': '2022-11-05 02:35:01', 'date_added_human': '5 months ago', 'date_end': '2023-01-09 10:50:48', 'voting_deadline': '2022-12-24 00:11:47', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 459, 'total_payment_count': 2, 'remaining_payment_count': 0, 'yes': 622, 'no': 90, 'abstain': 15, 'order': 12, 'comment_amount': 22, 'owner_username': 'quantumexplorer'}",093bbd80cf45bc080a168aa5bdae50345df74060a041da326f7c7403a7fda0a9,2022-11-05 02:35:01,2022-12-24 00:11:47,True,622,90,15,727,459.0,2022
12,"{'hash': 'e5df90533327d2aed7ed1e3a596e07b8a5f7ec341504a59358cc6673ef4e0750', 'name': 'DCG-SUPPLEMENTAL-OCT22', 'url': 'www.dashcentral.org/p/DCG_Supplemental_Oct2022', 'dw_url': 'https://www.dashcentral.org/p/DCG-SUPPLEMENTAL-OCT22', 'dw_url_comments': 'https://www.dashcentral.org/p/DCG-SUPPLEMENTAL-OCT22#comments', 'title': 'Dash Core Group October Supplemental Funding Proposal', 'date_added': '2022-10-16 23:25:01', 'date_added_human': '6 months ago', 'date_end': '2022-11-10 12:34:37', 'voting_deadline': '2022-11-23 19:33:15', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 356, 'total_payment_count': 1, 'remaining_payment_count': 0, 'yes': 483, 'no': 52, 'abstain': 31, 'order': 13, 'comment_amount': 32, 'owner_username': 'quantumexplorer'}",e5df90533327d2aed7ed1e3a596e07b8a5f7ec341504a59358cc6673ef4e0750,2022-10-16 23:25:01,2022-11-23 19:33:15,True,483,52,31,566,356.0,2022
13,"{'hash': '773e2210fe3c9e4184752be253fa97209796c972bb73a70aa895f2ea8d5ac35c', 'name': 'dash-marketing-hub-6', 'url': 'www.dashcentral.org/p/dash-marketing-hub-6', 'dw_url': 'https://www.dashcentral.org/p/dash-marketing-hub-6', 'dw_url_comments': 'https://www.dashcentral.org/p/dash-marketing-hub-6#comments', 'title': 'Dash Marketing Hub Q3 2022', 'date_added': '2022-10-15 04:10:01', 'date_added_human': '6 months ago', 'date_end': '2023-01-09 02:24:44', 'voting_deadline': '2022-11-23 19:33:15', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 100, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 682, 'no': 80, 'abstain': 54, 'order': 14, 'comment_amount': 7, 'owner_username': 'the_desert_lynx'}",773e2210fe3c9e4184752be253fa97209796c972bb73a70aa895f2ea8d5ac35c,2022-10-15 04:10:01,2022-11-23 19:33:15,True,682,80,54,816,100.0,2022
14,"{'hash': '748deb0331a1553824ca94338ed759d16cca5487343aa2e1f2a5d77b1183f0f8', 'name': 'ctx-2022-q4', 'url': 'www.dashcentral.org/p/ctx-2022-q4', 'dw_url': 'https://www.dashcentral.org/p/ctx-2022-q4', 'dw_url_comments': 'https://www.dashcentral.org/p/ctx-2022-q4#comments', 'title': 'CTX.com Infrastructure and Maintenance', 'date_added': '2022-10-13 15:25:01', 'date_added_human': '6 months ago', 'date_end': '2023-01-09 02:01:17', 'voting_deadline': '2022-11-23 19:33:15', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 90, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 717, 'no': 12, 'abstain': 17, 'order': 15, 'comment_amount': 8, 'owner_username': 'AshFrancis'}",748deb0331a1553824ca94338ed759d16cca5487343aa2e1f2a5d77b1183f0f8,2022-10-13 15:25:01,2022-11-23 19:33:15,True,717,12,17,746,90.0,2022
15,"{'hash': '4724bf906333b2886a6305b590caefe2c7ff5889e5462b4e97f795cecacdb501', 'name': 'dash-incubator-2022-q4', 'url': 'www.dashcentral.org/p/dash-incubator-2022-q4', 'dw_url': 'https://www.dashcentral.org/p/dash-incubator-2022-q4', 'dw_url_comments': 'https://www.dashcentral.org/p/dash-incubator-2022-q4#comments', 'title': 'Dash Incubator 2022 Q4', 'date_added': '2022-10-10 21:05:01', 'date_added_human': '6 months ago', 'date_end': '2023-01-09 00:51:12', 'voting_deadline': '2022-11-23 19:33:15', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 900, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 815, 'no': 27, 'abstain': 48, 'order': 16, 'comment_amount': 12, 'owner_username': 'rion'}",4724bf906333b2886a6305b590caefe2c7ff5889e5462b4e97f795cecacdb501,2022-10-10 21:05:01,2022-11-23 19:33:15,True,815,27,48,890,900.0,2022
16,"{'hash': '144cf5264f4ae6f3db23b4aa2b6e063552cd233d05d48c54d6a5c25cde684951', 'name': 'DCG-Supplemental-Sep2022', 'url': 'www.dashcentral.org/p/DCG_Supplemental_Sep2022', 'dw_url': 'https://www.dashcentral.org/p/DCG-Supplemental-Sep2022', 'dw_url_comments': 'https://www.dashcentral.org/p/DCG-Supplemental-Sep2022#comments', 'title': 'Dash Core Group September Supplemental Funding Proposal', 'date_added': '2022-09-18 15:45:02', 'date_added_human': '7 months ago', 'date_end': '2022-10-11 05:28:14', 'voting_deadline': '2022-10-24 14:54:43', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 445, 'total_payment_count': 1, 'remaining_payment_count': 0, 'yes': 431, 'no': 3, 'abstain': 1, 'order': 17, 'comment_amount': 0, 'owner_username': 'quantumexplorer'}",144cf5264f4ae6f3db23b4aa2b6e063552cd233d05d48c54d6a5c25cde684951,2022-09-18 15:45:02,2022-10-24 14:54:43,True,431,3,1,435,445.0,2022
17,"{'hash': '2d5f333e054d64433fe758d78061502ad81475a3c16cfa803210cc9c5262acfe', 'name': 'DCG-Infra-Oct-Nov-2022', 'url': 'www.dashcentral.org/p/DCG-INFRA-OCT-NOV22', 'dw_url': 'https://www.dashcentral.org/p/DCG-Infra-Oct-Nov-2022', 'dw_url_comments': 'https://www.dashcentral.org/p/DCG-Infra-Oct-Nov-2022#comments', 'title': 'Dash Core Group Infrastructure Oct-Nov 2022', 'date_added': '2022-09-14 22:10:01', 'date_added_human': '7 months ago', 'date_end': '2022-11-09 23:00:27', 'voting_deadline': '2022-10-24 14:54:43', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 459, 'total_payment_count': 2, 'remaining_payment_count': 0, 'yes': 610, 'no': 64, 'abstain': 12, 'order': 18, 'comment_amount': 4, 'owner_username': 'quantumexplorer'}",2d5f333e054d64433fe758d78061502ad81475a3c16cfa803210cc9c5262acfe,2022-09-14 22:10:01,2022-10-24 14:54:43,True,610,64,12,686,459.0,2022
18,"{'hash': '3e89fe9f93cbfd7f1263229525f2583f32339194189618a3f039bf77eae9ff3e', 'name': 'DCG-COMP-OCT-DEC22', 'url': 'www.dashcentral.org/p/DCG-COMP-OCT-DEC22', 'dw_url': 'https://www.dashcentral.org/p/DCG-COMP-OCT-DEC22', 'dw_url_comments': 'https://www.dashcentral.org/p/DCG-COMP-OCT-DEC22#comments', 'title': 'Dash Core Group Compensation October - December', 'date_added': '2022-09-14 16:40:01', 'date_added_human': '7 months ago', 'date_end': '2022-12-09 18:17:03', 'voting_deadline': '2022-10-24 14:54:43', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 2296, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 623, 'no': 81, 'abstain': 13, 'order': 19, 'comment_amount': 13, 'owner_username': 'quantumexplorer'}",3e89fe9f93cbfd7f1263229525f2583f32339194189618a3f039bf77eae9ff3e,2022-09-14 16:40:01,2022-10-24 14:54:43,True,623,81,13,717,2296.0,2022
19,"{'hash': 'dd0a1dd0e27d3983534f46312cc2aee4982f759f4b221202d6f783b93c0c792d', 'name': 'DCG_Supplemental_Aug2022', 'url': 'www.dashcentral.org/p/DCG_Supplemental_Aug2022', 'dw_url': 'https://www.dashcentral.org/p/DCG_Supplemental_Aug2022', 'dw_url_comments': 'https://www.dashcentral.org/p/DCG_Supplemental_Aug2022#comments', 'title': 'Dash Core Group August 26th Supplemental Funding Proposal: Revised', 'date_added': '2022-08-17 15:20:01', 'date_added_human': '8 months ago', 'date_end': '2022-09-10 20:24:01', 'voting_deadline': '2022-09-24 10:16:11', 'voting_deadline_human': 'passed', 'will_be_funded': False, 'remaining_yes_votes_until_funding': '387', 'in_next_budget': False, 'monthly_amount': 445, 'total_payment_count': 1, 'remaining_payment_count': 0, 'yes': 0, 'no': 0, 'abstain': 0, 'order': 20, 'comment_amount': 5, 'owner_username': 'glennaustin'}",dd0a1dd0e27d3983534f46312cc2aee4982f759f4b221202d6f783b93c0c792d,2022-08-17 15:20:01,2022-09-24 10:16:11,False,0,0,0,0,445.0,2022
